Component,Description,Part,References,Value,Footprint,Quantity Per PCB,Datasheet,Mfg. Part Num,Package,Mfg. Name,MP,Tolerance,Vendor Part Num,Category,Status,Family,MPN,Digi-Key_PN,DK_Datasheet_Link,DK_Detail_Page,Manufacturer
1,Unpolarized capacitor,C,C502 C503 C507 C510 C608 C610 C611 C612 C613 C614 C615 C751 C752 C753 C754 C805 C806,0.1uF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,17,~,,,,,,,,,,,,,,
2,Unpolarized capacitor,C,C604 C607,10nF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,2,,,,,,,,,,,,,,,
3,Unpolarized capacitor,C,C501 C504 C506 C609 C801 C808,10uF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,6,~,,,,,,,,,,,,,,
4,Unpolarized capacitor,C,C601 C602,18pF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,2,,,,,,,,,,,,,,,
5,Unpolarized capacitor,C,C505 C741 C742 C743 C744 C745 C746 C747 C748 C749 C750,1uF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,11,~,,,,,,,,,,,,,,
6,Unpolarized capacitor,C,C802 C803 C804,2.2uF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,3,~,,,,,,,,,,,,,,
7,Unpolarized capacitor,C,C508 C509,22pF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,2,~,,,,,,,,,,,,,,
8,Unpolarized capacitor,C,C701 C702 C703 C704 C705 C706 C707 C708 C725 C726 C727 C729 C730 C731 C733 C734 C735 C737 C738 C739 C809 C810 C811 C812 C813 C814,22uF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,26,445-11739-1-ND,,,,,,,,,,,,,,
9,Unpolarized capacitor,C,C807,4.7nF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,1,~,,,,,,,,,,,,,,
10,Unpolarized capacitor,C,C603 C709 C710 C711 C712 C713 C714 C715 C716 C717 C718 C719 C720 C721 C722 C723 C724,4.7uF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,17,,,,,,,,,,,,,,,
11,Unpolarized capacitor,C,C728 C732 C736 C740,47uF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,4,490-14660-1-ND,,,,,,,,,,,,,,
12,Unpolarized capacitor,C,C605 C606,6.8nF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,2,,,,,,,,,,,,,,,
13,Light emitting diode,LED,D201 D202 D701 D702 D703 D704 D705,BLUE,LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder,7,~,,,,,,,,,,,,,,
